369349003,Structure of occipital branch of posterior cerebral artery (body structure)|Occipital branches of posterior cerebral artery|Occipital branch of posterior cerebral artery
32622004,LC - Left colon|Descending colon|DC - Descending colon|Descending colon structure (body structure)
51027004,Skin of sacral region|Skin structure of sacral region (body structure)
260363003,Entire paraduodenal fold (body structure)|Paraduodenal fold
280079002,Layer of adrenal gland (body structure)
32061006,Urethral glands|Urethral gland structure (body structure)|Skene's glands|Littre's glands|Paraurethral glands
245062005,Tendon of digastric (body structure)
1425000,Structure of posterior limb of stapes (body structure)|Posterior limb of stapes
76451000,Structure of subdural space of frontal region (body structure)|Subdural space of frontal region (body structure)|Subdural space of frontal region
264847005,LV - Left ventricle mid inferior segment|Left ventricle mid inferior segment (body structure)
67649000,Entire crest of head of sixth rib (body structure)|Crest of head of sixth rib
54429006,Entire gray rami communicantes (body structure)|Gray rami communicantes
370668002,Intersesamoidean ligament of equine limb (body structure)
368653003,Entire umbo of tympanic membrane (body structure)|Umbo of tympanic membrane
52410001,Digastric muscle|Digastric muscle structure (body structure)
368629009,Entire subcutaneous tissue of antitragus (body structure)|Subcutaneous tissue of antitragus
73118008,Entire left ureteral orifice (body structure)|Left ureteral orifice
230331000,Entire subcutaneous tissue of interdigital space of foot (body structure)|Subcutaneous tissue of interdigital space of foot
79512007,Structure of cardiac notch of left lung (body structure)|Cardiac notch of left lung
368212000,Entire radial nerve deep branch (body structure)|Radial nerve deep branch
75490006,Structure of soft tissues of upper extremity (body structure)|Soft tissues of upper extremity
420800007,Structure of interpectoral lymph node (body structure)|Interpectoral lymph node
78220002,Umbilicus|Umbilical structure (body structure)
154631009,Condylar emissary vein|Structure of condylar emissary vein (body structure)
245151008,Entire straight renal tubule (body structure)|Straight renal tubule
34202007,"""Aortic valve|Aortic valve structure (body structure)|Aortic valve"
182138009,Entire head of third metatarsal bone (body structure)|Head of third metatarsal
277704008,Left border of heart|Obtuse margin|Entire left margin of heart (body structure)
360694005,Upper anterior intercostal veins (body structure)
64633006,Lobar duct of breast|Lactiferous duct structure (body structure)|Mammary duct|Lactiferous duct
245686006,Mesial-occlusal-distal-buccal (body structure)|MOD with buccal extension
369152003,Entire median forebrain bundle (body structure)|Median forebrain bundle
272721008,Neck of metatarsal bone|Entire neck of metatarsal (body structure)|Neck of metatarsal|Neck of metatarsal (body structure)
244156008,Skin of ulnar border of wrist|Skin of inside of wrist|Skin of medial border of wrist (body structure)
128592001,Lateral high right atrium (body structure)
90588001,Subscapularis muscle|Subscapularis muscle structure (body structure)
233200006,Vincula tendinum digitorum pedis|Vincula tendinum of foot|Structure of vincula tendinum of foot (body structure)
181957003,Shafts of radius and ulna in combination|Shafts of radius and ulna in combination (body structure)|Shafts of radius and/or ulna in combination (body structure)
214226000,Pastern joint (body structure)|pastern joint (body structure)|pastern joint
182080006,Head of fibula|Entire head of fibula (body structure)
368232004,Entire radial nerve communicating branch with ulnar nerve (body structure)|Radial nerve communicating branch with ulnar nerve
41782009,Posterior interosseous nerve structure (body structure)|Posterior interosseous antebrachial nerve
245300008,External iliac lymph node group (body structure)|External iliac nodes
83979002,Structure of decussation of pons (body structure)|Decussation of pons
21765003,Right ventral colon (body structure)
10957004,Structure of falciform margin of saphenous opening (body structure)|Falciform margin of saphenous opening
45153008,Entire lower left fourth premolar tooth|Entire permanent lower left fourth premolar tooth (body structure)|Lower left fourth premolar tooth|Lower left fourth premolar tooth (body structure)
245082009,Tendon of iliocostalis lumborum (body structure)
60865004,Abdominal esophagus|Abdominal oesophagus structure|Abdominal oesophagus|Abdominal esophagus structure (body structure)
32292000,Structure of dorsal nasal artery (body structure)|Dorsal nasal artery
277925004,Left surface of heart (body structure)
60855005,Subcutaneous tissue structure of plantar surface of fourth toe (body structure)|Subcutaneous tissue of plantar surface of fourth toe
65000005,"""Apophysis"
244704005,Entire first costal cartilage (body structure)|First costal cartilage
280329008,Medial supraclavicular nerve (body structure)
74606008,Palmar fascia of thumb|Structure of palmar fascia of thumb (body structure)
278259009,Diaphragmatic persistent defect (body structure)
15887008,Stratum lucidum structure (body structure)|Stratum lucidum (body structure)|Stratum lucidum
129178008,Structure of ischial bursa (body structure)|Ischial bursa
279189002,promontory common iliac lymph node|Promontory lymph node|Structure of promontory common iliac lymph node (body structure)
82910003,Dorsal surface of fourth toe|Structure of dorsal surface of fourth toe (body structure)
40952004,Structure of medial border of kidney (body structure)|Medial border of kidney
367988002,Shaft of ninth rib|Structure of shaft of ninth rib (body structure)
368830002,Ciliary ring|Entire pars plana (body structure)
217760004,Subcutaneous tissue of sole of foot|Entire subcutaneous tissue of sole of foot (body structure)
367589001,Structure of acromial bursa (body structure)|Acromial bursa
181772008,Entire fascia (body structure)|Fascia
13604002,Palatine gland (body structure)
272648000,Region of eardrum|Region of tympanic membrane (body structure)
276115001,Interlobular vein of kidney|Interlobular veins of kidney|Structure of interlobular vein of kidney (body structure)
35378004,Hilum of spleen|Structure of hilum of spleen (body structure)
396956009,Forefoot region of foot (body structure)|Forefoot
245899006,T4/T5 intertransverse ligament (body structure)
XU7Ls,129150007
423616005,Structure of anterior ciliary vein (body structure)
369160002,Entire anterior tubercle of thalamus (body structure)|Anterior tubercle of thalamus
279824007,Opening of ampulla of posterior semicircular duct (body structure)
410809007,Fascia of thenar muscle compartment (body structure)
245225002,Tendon of first dorsal interosseus of foot (body structure)
